emp_no,birth_date,first_name,last_name,dept_no,to_date
10372,1952-04-08,Anneli,Frijda,d004,9999-01-01
10377,1954-08-19,Marl,Grospietsch,d004,9999-01-01
10387,1952-11-03,Parto,Wrigley,d009,9999-01-01
10388,1953-03-29,Hironoby,Kaiser,d007,9999-01-01
10389,1953-03-24,Make,Peir,d005,9999-01-01
10396,1955-08-21,Sibyl,Rahier,d005,9999-01-01
10397,1955-11-11,Irena,Reutenauer,d004,9999-01-01
10402,1953-07-23,Volkmar,Ebeling,d006,9999-01-01
10404,1955-04-27,Prodip,Rosti,d005,9999-01-01
10407,1955-07-05,Ulf,Siepmann,d007,9999-01-01
10413,1952-05-05,Danel,Impagliazzo,d003,9999-01-01
10418,1952-06-29,Candida,Porotnikoff,d001,9999-01-01
10422,1954-06-02,Greger,Rubsam,d006,9999-01-01
10426,1955-12-28,Arunas,Luce,d005,9999-01-01
10429,1952-02-13,Martien,Improta,d005,9999-01-01
10432,1953-11-06,Hisao,Tiemann,d009,9999-01-01
10433,1954-09-02,Reuven,Dengi,d006,9999-01-01
10451,1952-10-06,Bodh,Ranta,d004,9999-01-01
10453,1953-07-19,Tsvetan,Matzel,d009,9999-01-01
10463,1954-05-20,Ung,Zaiane,d007,9999-01-01
10477,1952-12-07,Guoxiang,Trogemann,d005,9999-01-01
10486,1952-08-24,Amstein,Kossowski,d006,9999-01-01
10494,1953-12-21,Yakkov,Servieres,d004,9999-01-01
10497,1953-06-09,Pramod,Rabehasaina,d004,9999-01-01
10499,1953-10-04,Maik,Luft,d007,9999-01-01
10503,1952-05-17,Dannz,Pell,d004,9999-01-01
10504,1953-04-07,Xiong,Varker,d007,9999-01-01
10509,1953-10-03,Abdelwaheb,Riesenhuber,d007,9999-01-01
10512,1955-11-16,Udi,Gihr,d003,9999-01-01
10517,1953-06-18,Tiina,Speek,d007,9999-01-01
10522,1955-07-24,Marke,Cesareni,d003,9999-01-01
10529,1952-11-21,Ymte,Yetto,d004,9999-01-01
10531,1954-06-11,Oguz,Gimbel,d003,9999-01-01
10542,1955-01-05,Yannis,Couchot,d005,9999-01-01
10548,1952-06-12,Ramalingam,Gunderson,d001,9999-01-01
10552,1953-03-25,Kazuhito,Shiratori,d004,9999-01-01
10564,1955-04-14,Jianhao,Thisen,d004,9999-01-01
10568,1953-12-02,Gao,Poulakidas,d007,9999-01-01
10586,1954-06-23,Kirk,Vuskovic,d004,9999-01-01
10593,1952-07-24,Falguni,Kenevan,d004,9999-01-01
10596,1954-01-24,Sanjit,Coors,d007,9999-01-01
10603,1955-08-02,Wayne,Restivo,d007,9999-01-01
10610,1955-06-24,Irena,Roccetti,d005,9999-01-01
10614,1953-07-11,Gila,Ozeri,d009,9999-01-01
10615,1955-08-30,Keung,Delgrande,d002,9999-01-01
10623,1953-07-11,Aleksander,Danlos,d008,9999-01-01
10624,1955-12-19,Sham,Gyorkos,d004,9999-01-01
10628,1954-04-18,Krisda,Krogh,d005,9999-01-01
10630,1954-08-10,Bezalel,Katzenelson,d004,9999-01-01
10631,1955-05-17,Inderjeet,Chaudhuri,d005,9999-01-01
10634,1954-08-01,Nahid,Chepyzhov,d008,9999-01-01
10636,1955-08-25,Saeko,Porotnikoff,d003,9999-01-01
10639,1953-04-18,Pramod,Erol,d005,9999-01-01
10641,1953-12-24,Guozhong,Zucker,d005,9999-01-01
10642,1955-12-19,Hirochika,Narlikar,d005,9999-01-01
10653,1953-06-16,Otmar,Feinberg,d005,9999-01-01
10667,1955-08-05,Makato,Cusworth,d009,9999-01-01
10671,1953-06-12,Parviz,Rebaine,d003,9999-01-01
10676,1953-08-26,Valeri,Danley,d005,9999-01-01
10683,1952-06-18,Guiseppe,Stranks,d004,9999-01-01
10693,1953-12-14,Berhard,Daescu,d009,9999-01-01
10696,1952-03-23,Unal,Fendler,d005,9999-01-01
10702,1952-11-25,Bader,Szemeredi,d005,9999-01-01
10712,1952-04-12,Uma,Koprowski,d005,9999-01-01
10718,1955-12-19,Adib,Rullman,d005,9999-01-01
10726,1954-01-11,Zita,Minakawa,d005,9999-01-01
10734,1954-07-06,Sachar,Erdi,d004,9999-01-01
10741,1954-01-02,Sven,Huttel,d001,9999-01-01
10742,1955-03-13,Shim,Wiegley,d005,9999-01-01
10745,1953-10-23,Poorav,Ranze,d004,9999-01-01
10749,1955-08-21,King,Brendel,d004,9999-01-01
10750,1953-06-14,Roddy,Demeyer,d005,9999-01-01
10764,1953-01-12,Yunming,Beetstra,d005,9999-01-01
10767,1954-02-28,Monique,Doering,d007,9999-01-01
10768,1955-06-24,Ishfaq,Candan,d004,9999-01-01
10778,1953-03-13,Selwyn,Merey,d001,9999-01-01
10791,1954-05-27,Tadahiko,Sgarro,d005,9999-01-01
10795,1954-12-14,Supot,Naudin,d007,9999-01-01
10808,1955-09-11,Chenxi,Leijenhorst,d005,9999-01-01
10811,1954-06-29,Ashish,Fortenbacher,d004,9999-01-01
10813,1954-07-04,Shalesh,Shumilov,d007,9999-01-01
10814,1952-09-17,Nidapan,Dymetman,d007,9999-01-01
10826,1952-12-06,Arnd,Anandan,d005,9999-01-01
10827,1953-09-25,Willard,Danley,d002,9999-01-01
10830,1954-08-17,Fen,Fiebach,d001,9999-01-01
10831,1953-10-11,Toong,Driscoll,d005,9999-01-01
10833,1953-04-12,Krisda,Gecseg,d006,9999-01-01
10834,1954-12-16,Huiqun,Rajcani,d004,9999-01-01
10835,1952-11-23,Tomoyuki,Kermarrec,d004,9999-01-01
10836,1953-07-15,Jianhua,Leivant,d009,9999-01-01
10844,1954-02-03,Dipayan,Koprowski,d005,9999-01-01
10846,1952-06-27,Tokuyasu,Serre,d008,9999-01-01
10847,1952-03-04,Theirry,Danley,d008,9999-01-01
10848,1954-07-16,Fen,Bratsberg,d004,9999-01-01
10849,1953-03-05,Makato,Mayerwieser,d005,9999-01-01
10854,1954-08-11,Jagoda,Nannarelli,d005,9999-01-01
10858,1952-10-01,Kenroku,Gonthier,d005,9999-01-01
10871,1952-10-24,Aram,Gilg,d009,9999-01-01
10872,1952-02-21,Karoline,Speel,d002,9999-01-01
10873,1952-07-09,Sukumar,Wegerle,d002,9999-01-01
10878,1952-06-13,Lakshmi,Deville,d007,9999-01-01
10879,1953-08-18,Muzhong,Chleq,d005,9999-01-01
10882,1953-11-01,Fun,Heuser,d005,9999-01-01
10883,1952-07-30,Shimshon,Champarnaud,d004,9999-01-01
10885,1953-05-06,Rayond,Cronau,d001,9999-01-01
10887,1953-01-16,Lunjin,DeMori,d005,9999-01-01
10900,1955-07-18,Ferdinand,Prenel,d005,9999-01-01
10906,1952-02-06,Munehiro,Carrere,d007,9999-01-01
10909,1954-11-11,Georgi,Atchley,d005,9999-01-01
10913,1952-09-03,Narain,Thummel,d002,9999-01-01
10920,1955-04-08,Ronghao,Narahara,d003,9999-01-01
10921,1955-07-20,Mara,Bahi,d004,9999-01-01
10924,1954-04-27,Hironoby,Atchley,d007,9999-01-01
10926,1954-10-13,Leni,Eppinger,d009,9999-01-01
10927,1953-03-13,Gal,Scallan,d001,9999-01-01
10930,1954-01-13,Arch,Minakawa,d004,9999-01-01
10932,1955-11-19,Avishai,Picci,d005,9999-01-01
10936,1953-04-08,Mountaz,Schicker,d003,9999-01-01
10942,1952-08-08,Toshimitsu,Larfeldt,d005,9999-01-01
10943,1955-11-19,Berna,Skafidas,d005,9999-01-01
10944,1952-05-25,Remko,Zyda,d004,9999-01-01
10947,1954-09-29,Gor,Usery,d009,9999-01-01
10949,1953-08-14,Shigeichiro,Wroclawski,d002,9999-01-01
10956,1955-02-02,Arno,Picel,d004,9999-01-01
10965,1955-07-10,Eckart,Braunschweig,d007,9999-01-01
10969,1954-09-05,Premal,Noriega,d005,9999-01-01
10974,1952-03-07,Muneo,Papsdorf,d005,9999-01-01
10986,1954-08-11,Masako,Schiper,d005,9999-01-01
10987,1952-11-26,Flemming,Baezner,d005,9999-01-01
10988,1955-06-24,Chinya,Deyuan,d005,9999-01-01
10989,1954-09-08,Sumali,Candan,d002,9999-01-01
10990,1954-10-22,Shin,Foote,d005,9999-01-01
10996,1955-02-01,Matk,Rahimi,d007,9999-01-01
11004,1954-08-05,JoAnna,Decleir,d006,9999-01-01
11009,1954-08-30,Alper,Axelband,d007,9999-01-01
11012,1953-09-12,Taegyun,Speckmann,d009,9999-01-01
11019,1954-09-06,Leon,Huttel,d005,9999-01-01
11021,1954-07-13,Srinidhi,Henders,d008,9999-01-01
11027,1955-12-13,Remzi,Cappello,d004,9999-01-01
11031,1954-12-20,Ottavia,Walstra,d001,9999-01-01
11032,1953-04-19,Erez,Schaaf,d005,9999-01-01
11037,1952-05-22,Lansing,Maliniak,d004,9999-01-01
11038,1955-10-13,Jinya,Beidas,d008,9999-01-01
11042,1955-07-13,Gou,Breugel,d005,9999-01-01
11048,1952-10-26,Jaques,Demke,d007,9999-01-01
11050,1952-09-23,Elvis,Katiyar,d001,9999-01-01
11051,1952-10-06,Przemyslawa,Erol,d004,9999-01-01
11056,1955-10-24,Palash,Speel,d007,9999-01-01
11061,1954-11-11,Pintsang,Erni,d007,9999-01-01
11064,1952-08-10,Shawna,Vieri,d004,9999-01-01
11066,1954-11-06,Shaz,Langford,d002,9999-01-01
11070,1952-06-30,Adib,Raney,d006,9999-01-01
11071,1954-07-18,Kwan,Sigstam,d005,9999-01-01
11075,1954-10-28,Karsten,Belinskaya,d004,9999-01-01
11079,1952-09-18,Piyush,Garigliano,d005,9999-01-01
11081,1952-06-20,Barry,Boyle,d002,9999-01-01
11083,1954-07-09,Shimshon,Ducloy,d003,9999-01-01
11084,1955-07-03,Greger,Senzako,d004,9999-01-01
11085,1953-09-08,Hailing,Thummel,d004,9999-01-01
11087,1954-05-17,Changho,Jayawardene,d004,9999-01-01
11089,1955-02-18,Conal,Henders,d007,9999-01-01
11091,1952-10-10,Souichi,Ramsay,d004,9999-01-01
11092,1954-09-28,Narain,Stamatiou,d001,9999-01-01
11098,1953-09-11,Arnd,Covnot,d005,9999-01-01
11100,1955-10-14,Berna,Cochrane,d008,9999-01-01
11106,1955-02-23,Aris,Iwayama,d005,9999-01-01
11111,1954-07-14,Udi,Zastre,d004,9999-01-01
11112,1954-08-05,Boaz,Mukaidono,d009,9999-01-01
11113,1953-04-28,Shahab,Peng,d001,9999-01-01
11121,1953-02-13,Vugranam,Kakkad,d005,9999-01-01
11130,1953-01-17,Xinyu,Menhoudj,d003,9999-01-01
11132,1952-08-01,Kristin,Harnett,d004,9999-01-01
11133,1955-12-13,Nalini,Azulay,d006,9999-01-01
11134,1954-05-15,Sachar,Rajcani,d006,9999-01-01
11137,1955-03-17,Hugh,Luca,d005,9999-01-01
11139,1955-10-13,Bogdan,Homond,d009,9999-01-01
11143,1955-03-06,Yongdong,Rosen,d005,9999-01-01
11144,1954-12-07,Carrsten,Heinisuo,d007,9999-01-01
11146,1954-06-25,Ishfaq,Masand,d007,9999-01-01
11147,1955-09-26,Ayonca,Nitsch,d005,9999-01-01
11148,1953-01-23,Zhanqiu,Botman,d003,9999-01-01
11158,1952-02-23,Masaki,Hagimont,d004,9999-01-01
11162,1953-03-25,Kauko,Narlikar,d005,9999-01-01
11168,1953-05-03,Shmuel,Tetzlaff,d007,9999-01-01
11170,1952-05-05,Minghong,Cannard,d005,9999-01-01
11174,1952-09-14,Akhilish,Milicia,d004,9999-01-01
11177,1954-04-09,Chrisa,dAstous,d005,9999-01-01
11180,1952-11-07,Mitsuyuki,Bojadziev,d005,9999-01-01
11181,1952-05-28,Hausi,Cullers,d005,9999-01-01
11185,1954-04-10,Aloys,Baezner,d009,9999-01-01
11186,1953-07-15,Kshitij,Stasinski,d004,9999-01-01
11189,1953-03-07,Dante,Bodoff,d007,9999-01-01
11192,1952-09-06,Apostol,Bahr,d006,9999-01-01
11197,1955-05-11,Tadahiro,Fordan,d007,9999-01-01
11201,1952-05-20,Jouko,Masaki,d008,9999-01-01
11204,1955-12-15,Diederik,Covnot,d004,9999-01-01
11207,1955-08-14,Saeed,Gips,d005,9999-01-01
11208,1952-05-29,Saniya,Valtorta,d004,9999-01-01
11211,1952-12-11,Yurij,Rissland,d004,9999-01-01
11213,1955-10-19,Vugranam,Munoz,d004,9999-01-01
11217,1954-07-01,Kellie,Mawatari,d004,9999-01-01
11229,1953-10-20,Gretta,Ramamoorthy,d006,9999-01-01
11232,1955-09-03,Hidefumi,Crelier,d009,9999-01-01
11233,1952-05-08,Sanjit,Waschkowski,d005,9999-01-01
11240,1955-08-12,Kiam,Condotta,d005,9999-01-01
11243,1955-06-14,Udi,Desikan,d004,9999-01-01
11249,1954-10-01,Randi,Cyre,d005,9999-01-01
11251,1955-10-16,Bezalel,Chinal,d001,9999-01-01
11253,1952-09-11,Koldo,Pokrovskii,d005,9999-01-01
11254,1954-12-14,Danel,Rindone,d007,9999-01-01
11258,1953-10-12,Aris,Maccarone,d009,9999-01-01
11266,1955-08-09,Florina,Rohrbach,d006,9999-01-01
11267,1955-10-18,Shaunak,Zaumen,d008,9999-01-01
11268,1954-05-14,Aimee,Petersohn,d004,9999-01-01
11274,1954-09-08,Masanao,Nicolson,d009,9999-01-01
11275,1955-10-18,Hitomi,Eppinger,d005,9999-01-01
11289,1953-03-20,Chuanti,Cherinka,d005,9999-01-01
11290,1953-05-07,Visit,Dredge,d005,9999-01-01
11292,1953-05-18,Souichi,Sichman,d005,9999-01-01
11294,1954-06-11,Tru,Segond,d005,9999-01-01
11295,1953-02-03,Abdelkader,Lanzelotte,d002,9999-01-01
11296,1954-12-24,Hironobu,Kenevan,d004,9999-01-01
11301,1953-08-19,Mingzeng,Oxenboll,d003,9999-01-01
11317,1954-07-24,Shigeaki,Hagimont,d005,9999-01-01
11319,1955-06-05,Pranas,Marrakchi,d005,9999-01-01
11320,1954-04-13,Atilio,McAlpine,d001,9999-01-01
11322,1952-07-19,Nathalie,Pocchiola,d006,9999-01-01
11324,1953-11-16,Kauko,Billingsley,d004,9999-01-01
11325,1952-02-06,Samphel,Rossi,d005,9999-01-01
11326,1952-09-15,Munenori,Plesums,d005,9999-01-01
11338,1954-11-03,Kwangsub,Hanratty,d007,9999-01-01
11339,1954-06-05,Flemming,Massonet,d004,9999-01-01
11340,1952-12-04,Aris,Bala,d004,9999-01-01
11343,1954-09-10,Susanne,Erez,d005,9999-01-01
11347,1954-12-27,Anneli,Jonsson,d005,9999-01-01
11349,1953-09-05,Yurii,Hammerschmidt,d004,9999-01-01
11360,1953-05-24,Fen,Schach,d007,9999-01-01
11365,1953-11-17,Toshimi,Shinomoto,d004,9999-01-01
11373,1953-07-29,Yongmao,Keohane,d009,9999-01-01
11376,1952-03-10,Valery,Suomi,d008,9999-01-01
11380,1952-04-23,Kenroku,Pelc,d005,9999-01-01
11385,1952-03-04,Shiv,Ullian,d004,9999-01-01
11386,1954-09-27,Alselm,Assaf,d006,9999-01-01
11393,1954-05-17,Junsik,Junot,d004,9999-01-01
11396,1955-02-06,Anneke,Servieres,d005,9999-01-01
11398,1953-05-30,Oscar,Peir,d002,9999-01-01
11401,1952-12-20,Huan,Merey,d007,9999-01-01
11404,1954-09-15,Bedrich,Borovoy,d005,9999-01-01
11406,1955-04-11,Eberhardt,Gini,d008,9999-01-01
11410,1953-11-27,Gro,Vendrig,d005,9999-01-01
11415,1953-10-29,Sanjiv,Anido,d004,9999-01-01
11417,1954-11-20,Anneli,Cyne,d006,9999-01-01
11418,1954-03-21,Satosi,Cooley,d001,9999-01-01
11420,1955-04-30,Tsutomu,Lalonde,d003,9999-01-01
11421,1953-11-07,Josyula,Msuda,d004,9999-01-01
11423,1954-09-16,Guangming,Kopetz,d009,9999-01-01
11425,1955-11-20,Renee,Crelier,d005,9999-01-01
11441,1954-11-16,Marlo,Aingworth,d007,9999-01-01
11446,1954-06-20,Naftali,Narahara,d005,9999-01-01
11449,1955-03-30,Kotesh,Asser,d004,9999-01-01
11451,1955-05-05,Eben,Rajaraman,d004,9999-01-01
11452,1953-01-16,Shigehito,Luby,d009,9999-01-01
11459,1953-10-14,Duke,Suomi,d003,9999-01-01
11460,1955-11-19,Mana,Maraist,d004,9999-01-01
11469,1952-12-01,Guttorm,Giaccio,d004,9999-01-01
11474,1953-04-17,Gennady,Akazan,d004,9999-01-01
11476,1954-06-20,Manton,Yoshizawa,d001,9999-01-01
11479,1953-12-02,Shridhar,Pleszkun,d002,9999-01-01
11503,1953-08-01,Nathan,Picht,d005,9999-01-01
11506,1955-06-16,Rance,Picel,d007,9999-01-01
11509,1954-06-18,Aleksander,Feldhoffer,d005,9999-01-01
11513,1954-07-16,Otmar,Mahnke,d002,9999-01-01
11515,1955-03-03,Ulf,Basawa,d007,9999-01-01
11518,1953-07-21,Jinxi,Oxman,d003,9999-01-01
11519,1954-11-26,Halsur,Chinen,d007,9999-01-01
11523,1953-01-25,Yuguang,Pezzoli,d005,9999-01-01
11524,1955-10-26,Xiadong,Standera,d005,9999-01-01
11527,1952-02-06,Alagu,Boyle,d001,9999-01-01
11528,1955-04-26,Zito,Dolinsky,d004,9999-01-01
11531,1952-09-08,Radhika,Motley,d004,9999-01-01
11533,1953-10-30,Vitaly,Lorch,d005,9999-01-01
11537,1955-06-29,DAIDA,Pehl,d007,9999-01-01
11540,1954-01-26,Chanjung,Portugali,d004,9999-01-01
11554,1955-05-28,Subhash,Taubenfeld,d001,9999-01-01
11555,1955-08-05,Kotesh,Perfilyeva,d003,9999-01-01
11567,1954-07-06,Teiji,Mitzlaff,d007,9999-01-01
11568,1955-12-01,Martins,Fujisaki,d005,9999-01-01
11573,1952-12-18,Pranas,Hutton,d005,9999-01-01
11575,1955-02-22,Godehard,Plotkin,d005,9999-01-01
11577,1953-01-11,Mayumi,Deyuan,d006,9999-01-01
11581,1953-04-12,Patricio,Rosenbaum,d005,9999-01-01
11587,1954-07-04,Shem,Zambonelli,d005,9999-01-01
11589,1955-01-10,Gina,Plessier,d005,9999-01-01
11595,1953-02-26,Takanari,Kamber,d001,9999-01-01
11596,1952-12-22,Yannik,Gunderson,d002,9999-01-01
11602,1953-08-09,Somnath,Malabarba,d001,9999-01-01
11603,1954-12-07,Herb,Swen,d002,9999-01-01
11606,1952-11-05,Perry,Pepe,d009,9999-01-01
11607,1953-12-03,Tomokazu,Foong,d004,9999-01-01
11615,1955-03-05,Shem,Isaak,d007,9999-01-01
11616,1954-07-12,Zhilian,Brendel,d004,9999-01-01
11624,1955-05-16,Adil,Gammage,d004,9999-01-01
11628,1952-02-14,Fan,Malinowski,d008,9999-01-01
11640,1953-10-06,Valeri,Coorg,d005,9999-01-01
11641,1955-10-13,Chikako,Rothenberg,d005,9999-01-01
11644,1952-04-08,Sanjit,Zaiane,d004,9999-01-01
11646,1953-06-22,Lobel,Rubsam,d005,9999-01-01
11647,1953-10-13,Magy,Nitsche,d005,9999-01-01
11649,1954-10-07,Shen,Bernardinello,d008,9999-01-01
11660,1955-07-19,Gill,Stenning,d007,9999-01-01
11664,1955-08-27,Oksana,Brizzi,d007,9999-01-01
11667,1955-05-15,Kristian,Marchegay,d001,9999-01-01
11673,1954-12-20,Henk,Felder,d004,9999-01-01
11676,1952-04-12,Valeri,Ferriere,d004,9999-01-01
11681,1952-05-15,Fumitake,Benzmuller,d004,9999-01-01
11684,1953-03-07,Oksana,Gide,d001,9999-01-01
11690,1953-11-10,Domenick,Raczkowsky,d003,9999-01-01
11693,1952-02-15,Hideo,Coorg,d005,9999-01-01
11696,1954-10-26,Dante,Rothe,d007,9999-01-01
11713,1952-02-27,Danel,Heusch,d006,9999-01-01
11732,1955-06-14,Sanjoy,Ranft,d009,9999-01-01
11733,1954-05-25,Leszek,Sudbeck,d005,9999-01-01
11735,1955-02-19,Amalendu,Picci,d009,9999-01-01
11736,1953-08-21,Shugo,Uchoa,d004,9999-01-01
11737,1952-07-17,Martina,Garnier,d006,9999-01-01
11746,1952-05-22,Koichi,Marrakchi,d007,9999-01-01
11748,1953-03-07,Lihong,Massonet,d005,9999-01-01
11751,1953-02-02,Jiafu,Emiris,d008,9999-01-01
11756,1955-02-24,Abdelwaheb,Vakili,d005,9999-01-01
11763,1953-08-19,Yuriy,Liesche,d005,9999-01-01
11764,1953-04-22,Sanjay,Anick,d004,9999-01-01
11765,1955-08-17,Zorica,Junet,d003,9999-01-01
11769,1953-07-17,Chandrasekaran,Lampe,d005,9999-01-01
11770,1955-08-26,Arumugam,Jakobus,d005,9999-01-01
11772,1954-06-19,Gaurav,Penz,d005,9999-01-01
11774,1954-07-11,Aron,Wroclawski,d004,9999-01-01
11778,1953-04-23,Dhritiman,Fontan,d004,9999-01-01
11779,1952-06-07,Shunichi,Thombley,d008,9999-01-01
11791,1955-11-07,Gal,Mamelak,d005,9999-01-01
11797,1954-08-12,Chenxi,Thambidurai,d001,9999-01-01
11801,1953-11-22,Tommaso,Dayang,d007,9999-01-01
11807,1955-12-25,Chriss,Binding,d009,9999-01-01
11810,1952-12-08,Amabile,Bhattacharjee,d005,9999-01-01
11811,1953-07-05,Herb,Boissier,d007,9999-01-01
11817,1955-05-25,Niranjan,Markovitch,d007,9999-01-01
11822,1954-08-30,Sastry,Madeira,d009,9999-01-01
11823,1954-09-25,Weiyi,Iacovou,d008,9999-01-01
11829,1952-08-01,Chaosheng,Pettis,d004,9999-01-01
11832,1952-05-18,Arto,Zlotek,d005,9999-01-01
11836,1952-09-14,Ortrud,Bakhtari,d008,9999-01-01
11841,1955-04-21,Elvia,Bugrara,d009,9999-01-01
11842,1954-03-31,Moto,Piazza,d008,9999-01-01
11844,1953-10-30,Shawna,Demeyer,d005,9999-01-01
11846,1954-04-24,Fai,Perly,d004,9999-01-01
11853,1952-06-19,Zeljko,Kusakabe,d001,9999-01-01
11857,1955-12-03,Divier,Farrag,d007,9999-01-01
11862,1954-01-25,Alejandra,Deville,d006,9999-01-01
11864,1952-06-14,Pradeep,Kriebel,d009,9999-01-01
11868,1954-03-02,Kwee,Demke,d006,9999-01-01
11869,1955-09-14,Fumino,Luca,d004,9999-01-01
11871,1953-05-02,Nalini,Sommen,d005,9999-01-01
11872,1953-01-17,Cheong,Riexinger,d001,9999-01-01
11876,1954-09-17,Leszek,Kobuchi,d005,9999-01-01
11881,1952-08-06,Arra,Staelin,d007,9999-01-01
11888,1952-04-05,Badri,Azulay,d001,9999-01-01
